"user_id","session_id","timestamp","user_age","proxy_feature","target"
"user_1","session_1","2023-01-01 12:00:00",30,"A",0
"user_1","session_2","2023-01-01 12:05:00",30,"B",0
"user_2","session_3","2023-01-02 10:00:00",25,"A",1
"user_2","session_4","2023-01-02 10:05:00",25,"C",1
"user_3","session_5","2023-01-03 14:00:00",40,"B",0
"user_3","session_6","2023-01-03 14:05:00",40,"C",0
"user_4","session_7","2023-01-04 08:00:00",35,"A",1
"user_4","session_8","2023-01-04 08:05:00",35,"A",1
"user_5","session_9","2023-01-05 16:00:00",28,"B",0
"user_5","session_10","2023-01-05 16:05:00",28,"C",0
"user_1","session_11","2023-01-06 12:00:00",30,"A",0
"user_1","session_12","2023-01-06 12:05:00",30,"B",0
"user_2","session_13","2023-01-07 10:00:00",25,"A",1
"user_2","session_14","2023-01-07 10:05:00",25,"C",1
"user_3","session_15","2023-01-08 14:00:00",40,"B",0
"user_3","session_16","2023-01-08 14:05:00",40,"C",0
"user_4","session_17","2023-01-09 08:00:00",35,"A",1
"user_4","session_18","2023-01-09 08:05:00",35,"A",1
"user_5","session_19","2023-01-10 16:00:00",28,"B",0
"user_5","session_20","2023-01-10 16:05:00",28,"C",0
"user_6","session_21","2023-01-11 11:00:00",22,"A",1
"user_6","session_22","2023-01-11 11:05:00",22,"B",1
"user_7","session_23","2023-01-12 13:00:00",33,"C",0
"user_7","session_24","2023-01-12 13:05:00",33,"A",0
"user_8","session_25","2023-01-13 15:00:00",45,"B",1
"user_8","session_26","2023-01-13 15:05:00",45,"C",1
"user_9","session_27","2023-01-14 09:00:00",38,"A",0
"user_9","session_28","2023-01-14 09:05:00",38,"B",0
"user_10","session_29","2023-01-15 17:00:00",31,"C",1
"user_10","session_30","2023-01-15 17:05:00",31,"A",1
"user_6","session_31","2023-01-16 11:00:00",22,"A",1
"user_6","session_32","2023-01-16 11:05:00",22,"B",1
"user_7","session_33","2023-01-17 13:00:00",33,"C",0
"user_7","session_34","2023-01-17 13:05:00",33,"A",0
"user_8","session_35","2023-01-18 15:00:00",45,"B",1
"user_8","session_36","2023-01-18 15:05:00",45,"C",1
"user_9","session_37","2023-01-19 09:00:00",38,"A",0
"user_9","session_38","2023-01-19 09:05:00",38,"B",0
"user_10","session_39","2023-01-20 17:00:00",31,"C",1
"user_10","session_40","2023-01-20 17:05:00",31,"A",1
"user_11","session_41","2023-01-21 18:00:00",29,"B",0
"user_11","session_42","2023-01-21 18:05:00",29,"C",0
"user_12","session_43","2023-01-22 19:00:00",36,"A",1
"user_12","session_44","2023-01-22 19:05:00",36,"A",1
"user_13","session_45","2023-01-23 20:00:00",42,"B",0
"user_13","session_46","2023-01-23 20:05:00",42,"C",0
"user_14","session_47","2023-01-24 21:00:00",27,"A",1
"user_14","session_48","2023-01-24 21:05:00",27,"B",1
"user_15","session_49","2023-01-25 22:00:00",32,"C",0
"user_15","session_50","2023-01-25 22:05:00",32,"A",0
"user_11","session_51","2023-01-26 18:00:00",29,"B",0
"user_11","session_52","2023-01-26 18:05:00",29,"C",0
"user_12","session_53","2023-01-27 19:00:00",36,"A",1
"user_12","session_54","2023-01-27 19:05:00",36,"A",1
"user_13","session_55","2023-01-28 20:00:00",42,"B",0
"user_13","session_56","2023-01-28 20:05:00",42,"C",0
"user_14","session_57","2023-01-29 21:00:00",27,"A",1
"user_14","session_58","2023-01-29 21:05:00",27,"B",1
"user_15","session_59","2023-01-30 22:00:00",32,"C",0
"user_15","session_60","2023-01-30 22:05:00",32,"A",0
